﻿﻿﻿﻿﻿﻿﻿﻿idx,card_name,company,card_type,brands,annual_fee,pre_month_money,pre_month_condition,top_benefit_summary,benefit_categories,only_online,release_dt,card_img,detail_url,detailed_benefits
2371,신한카드 플리,신한카드,신용,,"국내전용 [15,000원] / 해외겸용 [18,000원]",0,없음,할인: 0.9% | 해외: 0.5% | 기타: 무제한,"모든가맹점, 무실적, 해외",false,,https://d1c5n4ri2guedi.cloudfront.net/card/2371/card_img/31359/2371card_2.png,https://www.card-gorilla.com/card/detail/2371,"국내외가맹점: 국내 이용금액 최대 0.9% 결제일 할인 | 기타: 매주 1회 국내 이용 할인 쿠폰 제공 | 적립: My Pick 가맹점 월 3, 6, 9번째 이용 건에 대해 마이신한포인트 1,000원 적립 | 선택형: 카드 플레이트 선택 가능"
2603,KB차차차 신용카드,KB국민카드,신용,Mastercard,"국내전용 [30,000원] / 해외겸용 [30,000원]",400000,"400,000원",주유: 300원 | 자동차: 10%,"주유, 자동차/하이패스",false,,https://d1c5n4ri2guedi.cloudfront.net/card/2603/card_img/31201/2603card.png,https://www.card-gorilla.com/card/detail/2603,"주유: 주유소(충전소 포함) 리터당 150원~300원 청구할인 | 자동차: 차량정비, 주차장, 세차장 업종 10% 청구할인"
2583,PAYCO 36 우리카드,우리카드,신용,VISA,"국내전용 [15,000원] / 해외겸용 [15,000원]",400000,"400,000원",멤버십포인트: 1% | 기타: 무제한 | 카페: 5%,"마트/편의점, 카페/디저트",false,2023-05-23,https://d1c5n4ri2guedi.cloudfront.net/card/2583/card_img/30703/2583card.png,https://www.card-gorilla.com/card/detail/2583,멤버십포인트: 적립 서비스 유의사항 | 기타: PAYCO 36 우리카드 장기할부 서비스 제공 | 카페: 커피전문점 5% 청구할인 | 편의점: 편의점 5% 청구할인
2480,수소차 충전할인 신한카드,신한카드,신용,Mastercard,"국내전용 [20,000]원 / 해외겸용 [23,000]원",300000,"300,000원",충전소: 10% | 자동차: 10% | 마트/편의점: 5%,"주유, 마트/편의점, 푸드, 자동차/하이패스",false,,https://d1c5n4ri2guedi.cloudfront.net/card/2480/card_img/28407/2480card.png,https://www.card-gorilla.com/card/detail/2480,충전소: 수소차 충전요금 10% 결제일 할인 | 자동차: 주차장 업종 10% 결제일 할인 | 마트/편의점: 주요 할인점 5% 결제일 할인 | 배달앱: 배달의민족/쿠팡이츠/요기요/땡겨요 5% 결제일 할인
2466,이디야 하나카드,하나카드,신용,VISA,"해외겸용 [15,000]원",300000,"300,000원",카페: 무제한 | 카페: 50% | 디지털구독: 30%,"교통, 카페/디저트, OTT/영화/문화",false,,https://d1c5n4ri2guedi.cloudfront.net/card/2466/card_img/28184/2466card.png,https://www.card-gorilla.com/card/detail/2466,카페: 이디야 멤버스 음료쿠폰 제공 | 카페: 이디야커피 청구할인 | 디지털구독: 디지털 구독 30% 청구할인 | 교통: 교통 5% 청구할인 | 선택형: 다양한 플레이트 선택 가능
2777,이마트 e카드 Basic,현대카드,신용,Mastercard,"국내전용 [20,000]원 / 해외겸용 [20,000]원",500000,"500,000원",마트/편의점: 1.5% | 적립: 0.5%,"모든가맹점, 마트/편의점, 카페/디저트",false,2024-09-19,https://d1c5n4ri2guedi.cloudfront.net/card/2777/card_img/38199/2776card.png,https://www.card-gorilla.com/card/detail/2777,적립: [기본 혜택] 전월 이용 금액 50만원 이상 시 국내외 가맹점 0.5% 신세계포인트 적립 | 적립: [추가 혜택] 전월 이용 금액 50만원 이상 시 이마트 7대 가맹점 1.5% 신세계포인트 적립
2962,더한섬 신한카드,신한카드,신용,Mastercard,"국내전용 [15,000]원 / 해외겸용 [18,000]원",400000,"400,000원",할인: 5% | 적립: 3% | 적립: 0.5%,"모든가맹점, 주유, 통신, 쇼핑, 푸드, 카페/디저트, 병원/약국, 레저/스포츠, 해외",false,2025-08-14,https://d1c5n4ri2guedi.cloudfront.net/card/2962/card_img/48069/2962card.png,https://www.card-gorilla.com/card/detail/2962,할인: 전월 이용금액별 월 할인한도 | 적립: 전월 이용금액별 월 할인한도 | 국내외가맹점: 전월 이용금액별 월 할인한도
1597,신협-신한카드 Air One,신협,신용,AMEX,"해외겸용 [49,000]원",500000,"500,000원",대한항공: 무제한 | 면세점: 무제한 | 해외이용: 무제한,"항공마일리지, 해외",false,,https://d1c5n4ri2guedi.cloudfront.net/card/1597/card_img/22610/1597card.png,https://www.card-gorilla.com/card/detail/1597,"대한항공: 기본 적립 | 해외이용: 해외 이용 | 면세점: 신라면세점 더 심플(앱) | 프리미엄 서비스: - 서비스 내용은 플래티늄 서비스 안내장, 신한카드 홈페이지(www.shinhancard.com) 및 국제브랜드사 홈페이지(www.americanexpress.co.kr)를 통해 안내되고 있사오니, 이용 전 서비스 세부 내용 및 유의사항을 참조해 주시기 바랍니다."
738,신한카드 혼디모앙,신한카드,신용,VISA,"국내전용 [30,000]원 / 해외겸용 [33,000]원",0,없음,모든가맹점: 0.2% | 대형마트: 10% | 충전소: 30%,"모든가맹점, 교통, 주유, 통신, 마트/편의점, 쇼핑, 카페/디저트, 무실적, 레저/스포츠",false,,https://d1c5n4ri2guedi.cloudfront.net/card/738/card_img/22212/738card.png,https://www.card-gorilla.com/card/detail/738,적립: [기본적립] 일시불 &middot; 할부 이용금액 0.2% 포인트 적립 | 대형마트: [제주 특화 서비스] | 주유: [제주 특화 서비스] | 레저/스포츠: [제주 특화 서비스] | 온라인쇼핑: [온라인 쇼핑 할인 서비스] | 대중교통: [생활 할인 서비스] | 통신: [생활 할인 서비스]
621,LOCA for Auto,롯데카드,신용,Mastercard,"국내전용 [20,000]원 / 해외겸용 [20,000]원",1500000,"1,500,000원",주유: 100원 | 보험: 10000원 | 편의점: 5%,"주유, 마트/편의점, 푸드, 공과금/렌탈",false,,https://d1c5n4ri2guedi.cloudfront.net/card/621/card_img/21387/621card.png,https://www.card-gorilla.com/card/detail/621,주유: [주유] | 보험: [자동차 보험] | 마트/편의점: [편의점] | 배달앱: [배달앱]
649,마이핏카드(적립형),KB국민카드,신용,Mastercard,"국내전용 [30,000]원 / 해외겸용 [30,000]원",500000,"500,000원",간편결제: 1.5% | 생활: 1000원 | 쇼핑: 5%,"교통, 마트/편의점, 쇼핑, 푸드, 간편결제",false,,https://d1c5n4ri2guedi.cloudfront.net/card/649/card_img/21412/649card.png,https://www.card-gorilla.com/card/detail/649,간편결제: 간편결제 1.5% 포인트리 적립 | 생활: 편의점/택시 1천점 포인트리 적립 | 쇼핑: 쇼핑/배달 5% 포인트리 적립
2005,GS&POINT 롯데카드,롯데카드,신용,Mastercard,"국내전용 [15,000원] / 해외겸용 [15,000원]",400000,"400,000원",온라인쇼핑: 5% | 편의점: 5% | 주유소: 3000원,"주유, 마트/편의점, 쇼핑, 뷰티/피트니스",false,,https://d1c5n4ri2guedi.cloudfront.net/card/2005/card_img/21993/2005card.gif,https://www.card-gorilla.com/card/detail/2005,쇼핑: GS계열사 이용 시 결제일 청구 할인 | 멤버십포인트: L.POINT
